Ativo;Preco_Atual_R$
NEAR-USD;1,629095196723938
NEOE3.SA;32,29999923706055
NEXT34.SA;113,98999786376953
NFLX34.SA;11,670000076293945
NIKE34.SA;34,95000076293945
NVDC34.SA;20,049999237060547
ODPV3.SA;11,800000190734863
ORCL34.SA;178,07000732421875
OXYP34.SA;37,84000015258789
P1LD34.SA;57,849998474121094
PAGS34.SA;11,170000076293945
PATL11.SA;62,16999816894531
PEPB34.SA;53,41999816894531
PETR3.SA;33,59000015258789
PETR4.SA;31,850000381469727
PETZ3.SA;4,659999847412109
PFIZ34.SA;33,81999969482422
PGCO34.SA;56,689998626708984
PIBB11.SA;279,3999938964844
PLPL3.SA;16,1200008392334
PNVL3.SA;10,130000114440918
POMO4.SA;6,409999847412109
PRIO3.SA;37,560001373291016
PSSA3.SA;47,7400016784668
PVBI11.SA;81,05000305175781
PYPL34.SA;16,610000610351562
QBTC11.SA;36,0
QCOM34.SA;75,0999984741211
QETH11.SA;10,680000305175781
QUAL3.SA;2,369999885559082
R1IN34.SA;154,35000610351562
RADL3.SA;23,459999084472656
RAIL3.SA;16,579999923706055
RAIZ4.SA;0,8399999737739563
RANI3.SA;8,59000015258789
RAPT4.SA;6,510000228881836
RBRF11.SA;6,650000095367432
RBRL11.SA;85,94000244140625
RBRP11.SA;52,20000076293945
RBRR11.SA;84,2300033569336
RBRY11.SA;77,40624237060547
RCRB11.SA;130,02000427246094
RDOR3.SA;45,70000076293945
RECR11.SA;80,4800033569336
RECT11.SA;35,9900016784668
RECV3.SA;10,5
RIOT34.SA;386,95001220703125
ROXO34.SA;10,9399995803833
RZTR11.SA;93,94000244140625
S1PO34.SA;776,5800170898438
SANB11.SA;33,90999984741211
SAPP34.SA;1291,2900390625
SAPR11.SA;25,992019653320312
SBSP3.SA;139,72999572753906
SDIL11.SA;96,5
SHIB-USD;7,97596021584468e-06
SHUL4.SA;5,059999942779541
SIMN34.SA;249,08999633789062
SLBG34.SA;95,87999725341797
SMAL11.SA;116,0
SMTO3.SA;13,25
SNEC34.SA;154,5500030517578
SOL-USD;126,95977783203125
SPXI11.SA;396,6499938964844
SSFO34.SA;56,529998779296875
SUZB3.SA;47,47999954223633
TAEE11.SA;42,5
TASA4.SA;7,326667308807373
TECK11.SA;115,5
TEND3.SA;28,25
TEPP11.SA;8,489999771118164
TGAR11.SA;86,25
TGTB34.SA;801,322265625
TMCO34.SA;66,95999908447266
TOTS3.SA;43,31999969482422
TRX-USD;0,2542079985141754
TRXF11.SA;100,3499984741211
TSLA34.SA;71,6500015258789
TSMC34.SA;193,08999633789062
TXSA34.SA;193,57000732421875
U1BE34.SA;116,05000305175781
UGPA3.SA;21,59000015258789
UNHH34.SA;24,799999237060547
UNI7083-USD;5,603349208831787
UNIP6.SA;43,142147064208984
UPSS34.SA;46,445640563964844
URPR11.SA;52,04599380493164
VALE3.SA;67,91999816894531
VBBR3.SA;24,889999389648438
VGHF11.SA;6,980000019073486
VGIP11.SA;77,80000305175781
VILG11.SA;94,4800033569336
VINO11.SA;5,170000076293945
VISA34.SA;88,08000183105469
VISC11.SA;109,0999984741211
VIVA3.SA;34,779998779296875
VRTA11.SA;76,36000061035156
VSLH11.SA;2,319999933242798
VVEO3.SA;1,649999976158142
WALM34.SA;37,2599983215332
WEGE3.SA;45,18000030517578
WFCO34.SA;114,0999984741211
XINA11.SA;8,619999885559082
XLM-USD;0,3316589891910553
XPBR31.SA;105,5199966430664
XPLG11.SA;85,82059478759766
XPML11.SA;107,33999633789062
XPSF11.SA;6,269999980926514
XRP-USD;2,0371720790863037
Z1OM34.SA;18,209999084472656
ZAMP3.SA;3,5
