,pvp,timestamp
FLRY3.SA,1.6082432,2025-12-02 14:10:30.009633
GAME11.SA,2.0,2025-12-02 14:10:30.009633
GEOO34.SA,87.2844,2025-12-02 14:10:30.009633
GFSA3.SA,0.027714353,2025-12-02 14:10:30.009633
GGBR4.SA,0.6955161,2025-12-02 14:10:30.009633
GGRC11.SA,2.0,2025-12-02 14:10:30.009633
GILD34.SA,19.295393,2025-12-02 14:10:30.009633
GMAT3.SA,1.1319093,2025-12-02 14:10:30.009633
GOAU4.SA,0.56675386,2025-12-02 14:10:30.009633
GOGL34.SA,4.397028,2025-12-02 14:10:30.009633
GOLD11.SA,2.0,2025-12-02 14:10:30.009633
GOVE11.SA,2.0,2025-12-02 14:10:30.009633
GSGI34.SA,0.41434518,2025-12-02 14:10:30.009633
GUAR3.SA,1.0399784,2025-12-02 14:10:30.009633
H1SB34.SA,9.638651,2025-12-02 14:10:30.009633
HABT11.SA,2.0,2025-12-02 14:10:30.009633
HALI34.SA,11.417004,2025-12-02 14:10:30.009633
HAPV3.SA,0.14563552,2025-12-02 14:10:30.009633
HASH11.SA,2.0,2025-12-02 14:10:30.009633
HBOR3.SA,0.267768,2025-12-02 14:10:30.009633
HCTR11.SA,2.0,2025-12-02 14:10:30.009633
HFOF11.SA,2.0,2025-12-02 14:10:30.009633
HGBS11.SA,0.86169666,2025-12-02 14:10:30.009633
HGCR11.SA,2.0,2025-12-02 14:10:30.009633
HGLG11.SA,1.0074003,2025-12-02 14:10:30.009633
HGRE11.SA,0.7296421,2025-12-02 14:10:30.009633
HGRU11.SA,2.0,2025-12-02 14:10:30.009633
HOME34.SA,5.5777283,2025-12-02 14:10:30.009633
HONB34.SA,38.87943,2025-12-02 14:10:30.009633
HSML11.SA,2.0,2025-12-02 14:10:30.009633
IB5M11.SA,2.0,2025-12-02 14:10:30.009633
IBMB34.SA,54.615284,2025-12-02 14:10:30.009633
IGTI11.SA,1.719729,2025-12-02 14:10:30.009633
IMAB11.SA,2.0,2025-12-02 14:10:30.009633
INTB3.SA,1.3779076,2025-12-02 14:10:30.009633
IRBR3.SA,0.77200806,2025-12-02 14:10:30.009633
IRDM11.SA,2.0,2025-12-02 14:10:30.009633
IRFM11.SA,2.0,2025-12-02 14:10:30.009633
ISAE4.SA,0.8710724,2025-12-02 14:10:30.009633
ITLC34.SA,1.6536739,2025-12-02 14:10:30.009633
ITSA4.SA,1.4759753,2025-12-02 14:10:30.009633
ITUB4.SA,2.0821261,2025-12-02 14:10:30.009633
IVVB11.SA,2.0,2025-12-02 14:10:30.009633
JDCO34.SA,0.16060944,2025-12-02 14:10:30.009633
JHSF3.SA,0.8159372,2025-12-02 14:10:30.009633
JNJB34.SA,2.2120376,2025-12-02 14:10:30.009633
JPMC34.SA,1.3130918,2025-12-02 14:10:30.009633
JSRE11.SA,0.58938396,2025-12-02 14:10:30.009633
KISU11.SA,2.0,2025-12-02 14:10:30.009633
KLBN11.SA,2.1321783,2025-12-02 14:10:30.009633
KNCR11.SA,1.0411627,2025-12-02 14:10:30.009633
KNHY11.SA,2.0,2025-12-02 14:10:30.009633
KNIP11.SA,2.0,2025-12-02 14:10:30.009633
KNRI11.SA,0.9454693,2025-12-02 14:10:30.009633
KNSC11.SA,2.0,2025-12-02 14:10:30.009633
LAVV3.SA,2.0714557,2025-12-02 14:10:30.009633
LFTS11.SA,2.0,2025-12-02 14:10:30.009633
LILY34.SA,7.097515,2025-12-02 14:10:30.009633
LINK-USD,2.0,2025-12-02 14:10:30.009633
LMTB34.SA,87.445114,2025-12-02 14:10:30.009633
LOGG3.SA,0.5945786,2025-12-02 14:10:30.009633
LREN3.SA,1.5571136,2025-12-02 14:10:30.009633
LTC-USD,2.0,2025-12-02 14:10:30.009633
LTNB11.SA,2.0,2025-12-02 14:10:30.009633
LVBI11.SA,2.0,2025-12-02 14:10:30.009633
LWSA3.SA,1.0596476,2025-12-02 14:10:30.009633
M1RN34.SA,0.27072334,2025-12-02 14:10:30.009633
M1TA34.SA,1.5883346,2025-12-02 14:10:30.009633
